,0,1,2
7,Abbotsford-Mission,British Columbia,
8,Abbotsford-Mission,British Columbia,
10,Abbotsford-Mission,British Columbia,
11,Abbotsford-Mission,British Columbia,
13,Barrie,Ontario,
14,Barrie,Ontario,
16,Barrie,Ontario,
17,Barrie,Ontario,
19,Brantford,Ontario,
20,Brantford,Ontario,
22,Brantford,Ontario,
23,Brantford,Ontario,
25,Calgary,Alberta,
26,Calgary,Alberta,
28,Calgary,Alberta,
29,Calgary,Alberta,
31,Edmonton,Alberta,
32,Edmonton,Alberta,
34,Edmonton,Alberta,
35,Edmonton,Alberta,
37,Greater Sudbury,Ontario,
38,Greater Sudbury,Ontario,
40,Greater Sudbury,Ontario,
41,Greater Sudbury,Ontario,
43,Guelph,Ontario,
44,Guelph,Ontario,
46,Guelph,Ontario,
47,Guelph,Ontario,
49,Halifax,Nova Scotia,
50,Halifax,Nova Scotia,
52,Halifax,Nova Scotia,
53,Halifax,Nova Scotia,
55,Hamilton,Ontario,
56,Hamilton,Ontario,
58,Hamilton,Ontario,
59,Hamilton,Ontario,
61,Kelowna,British Columbia,
62,Kelowna,British Columbia,
64,Kelowna,British Columbia,
65,Kelowna,British Columbia,
67,Kingston,Ontario,
68,Kingston,Ontario,
70,Kingston,Ontario,
71,Kingston,Ontario,
73,Kitchener-Cambridge-Waterloo,Ontario,
74,Kitchener-Cambridge-Waterloo,Ontario,
76,Kitchener-Cambridge-Waterloo,Ontario,
77,Kitchener-Cambridge-Waterloo,Ontario,
79,London,Ontario,
80,London,Ontario,
82,London,Ontario,
83,London,Ontario,
85,Moncton,New Brunswick,
86,Moncton,New Brunswick,
88,Moncton,New Brunswick,
89,Moncton,New Brunswick,
91,Montréal excluding Saint-Jérôme,Quebec,
92,Montréal excluding Saint-Jérôme,Quebec,
94,Montréal excluding Saint-Jérôme,Quebec,
95,Montréal excluding Saint-Jérôme,Quebec,
97,Oshawa,Ontario,
98,Oshawa,Ontario,
100,Oshawa,Ontario,
101,Oshawa,Ontario,
103,Ottawa-Gatineau,Ontario/Quebec,
104,Ottawa-Gatineau,Ontario/Quebec,
106,Ottawa-Gatineau,Ontario/Quebec,
107,Ottawa-Gatineau,Ontario/Quebec,
109,Ottawa-Gatineau,Ontario part,Ontario/Quebec
110,Ottawa-Gatineau,Ontario part,Ontario/Quebec
112,Ottawa-Gatineau,Ontario part,Ontario/Quebec
