name,pop,location
Toronto,2600000,"https://www.google.com/maps/?q=43.7001,-79.4163"
Montreal,1600000,"https://www.google.com/maps/?q=45.5088,-73.5878"
Calgary,1019942,"https://www.google.com/maps/?q=51.0501,-114.085"
Ottawa,812129,"https://www.google.com/maps/?q=45.4112,-75.6981"
Edmonton,712391,"https://www.google.com/maps/?q=53.5501,-113.469"
Mississauga,668549,"https://www.google.com/maps/?q=43.5789,-79.6583"
North York,636000,"https://www.google.com/maps/?q=43.7668,-79.4163"
Winnipeg,632063,"https://www.google.com/maps/?q=49.8844,-97.147"
Scarborough,600000,"https://www.google.com/maps/?q=43.7722,-79.2567"
Vancouver,600000,"https://www.google.com/maps/?q=49.2497,-123.119"
Quebec,528595,"https://www.google.com/maps/?q=46.8123,-71.2145"
Hamilton,519949,"https://www.google.com/maps/?q=43.2501,-79.8496"
Brampton,433806,"https://www.google.com/maps/?q=43.6834,-79.7663"
Surrey,394976,"https://www.google.com/maps/?q=49.1063,-122.825"
Laval,376845,"https://www.google.com/maps/?q=45.57,-73.692"
Halifax,359111,"https://www.google.com/maps/?q=44.6453,-63.5724"
Etobicoke,347948,"https://www.google.com/maps/?q=43.6542,-79.5671"
London,346765,"https://www.google.com/maps/?q=42.9834,-81.233"
Okanagan,297601,"https://www.google.com/maps/?q=50.3639,-119.35"
Victoria,289625,"https://www.google.com/maps/?q=48.4329,-123.369"
Windsor,278013,"https://www.google.com/maps/?q=42.3001,-83.0165"
Markham,261573,"https://www.google.com/maps/?q=43.8668,-79.2663"
Oshawa,247989,"https://www.google.com/maps/?q=43.9001,-78.8496"
Gatineau,242124,"https://www.google.com/maps/?q=45.4772,-75.7016"
Vaughan,238866,"https://www.google.com/maps/?q=43.8361,-79.4983"
Kitchener,233700,"https://www.google.com/maps/?q=43.4254,-80.5112"
Longueuil,229330,"https://www.google.com/maps/?q=45.5312,-73.5181"
Burnaby,202799,"https://www.google.com/maps/?q=49.2664,-122.953"
Ladner,200000,"https://www.google.com/maps/?q=49.0894,-123.082"
Saskatoon,198958,"https://www.google.com/maps/?q=52.1324,-106.669"
Richmond Hill,185541,"https://www.google.com/maps/?q=43.8711,-79.4372"
Barrie,182041,"https://www.google.com/maps/?q=44.4001,-79.6663"
Richmond,182000,"https://www.google.com/maps/?q=49.17,-123.137"
Nepean,180000,"https://www.google.com/maps/?q=45.3521,-75.7398"
Regina,176183,"https://www.google.com/maps/?q=50.4501,-104.618"
Oakville,165697,"https://www.google.com/maps/?q=43.4501,-79.6829"
Burlington,164415,"https://www.google.com/maps/?q=43.3862,-79.8371"
Greater Sudbury,157857,"https://www.google.com/maps/?q=46.49,-80.99"
Abbotsford,151683,"https://www.google.com/maps/?q=49.058,-122.253"
Saguenay,143692,"https://www.google.com/maps/?q=48.4168,-71.0657"
St. Catharines,131989,"https://www.google.com/maps/?q=43.1713,-79.2427"
Sherbrooke,129447,"https://www.google.com/maps/?q=45.4001,-71.8991"
Anmore,126456,"https://www.google.com/maps/?q=49.3164,-122.853"
Levis,126396,"https://www.google.com/maps/?q=46.8033,-71.1779"
Kelowna,125109,"https://www.google.com/maps/?q=49.8831,-119.486"
Cambridge,120372,"https://www.google.com/maps/?q=43.3601,-80.3127"
Trois-Rivieres,119693,"https://www.google.com/maps/?q=46.3451,-72.5477"
Guelph,115760,"https://www.google.com/maps/?q=43.5459,-80.256"
East York,115365,"https://www.google.com/maps/?q=43.6905,-79.3279"
Coquitlam,114565,"https://www.google.com/maps/?q=49.283,-122.753"
Kingston,114195,"https://www.google.com/maps/?q=44.2298,-76.481"
Sydney,105968,"https://www.google.com/maps/?q=46.1351,-60.1831"
Delta,101668,"https://www.google.com/maps/?q=49.144,-122.907"
Dartmouth,101343,"https://www.google.com/maps/?q=44.6713,-63.5772"
Thunder Bay,99334,"https://www.google.com/maps/?q=48.382,-89.2502"
St. John's,99182,"https://www.google.com/maps/?q=47.5649,-52.7093"
Waterloo,97475,"https://www.google.com/maps/?q=43.4668,-80.5164"
Terrebonne,94703,"https://www.google.com/maps/?q=45.7,-73.6473"
Ajax,90167,"https://www.google.com/maps/?q=43.8501,-79.0329"
