city_name,city_size_type,city_type,province,pop_2016,city_size,pop_density
Acton,"Small population centre (1,000 to 29,999)",Fringe,Ontario,9462.0,7.8,1213.2
Acton Vale,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Quebec,5399.0,4.3,1254.2
Airdrie,"Medium population centre (30,000 to 99,999)",Secondary core,Alberta,61082.0,32.78,1863.2
Alençon,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Quebec,1562.0,2.94,530.4
Alexandria,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,2845.0,2.07,1375.1
Alfred,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,1185.0,0.87,1369.6
Alliston,"Small population centre (1,000 to 29,999)",Secondary core,Ontario,18809.0,17.46,1077.6
Alma,"Small population centre (1,000 to 29,999)",Core,Quebec,21406.0,14.71,1455.5
Almonte,"Small population centre (1,000 to 29,999)",Fringe,Ontario,5039.0,3.8,1325.7
Altona,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Manitoba,4167.0,4.53,919.0
Amherst,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Nova Scotia,9550.0,12.38,771.2
Amherstburg,"Small population centre (1,000 to 29,999)",Secondary core,Ontario,13910.0,13.51,1029.3
Amos,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Quebec,10005.0,8.42,1188.1
Amqui,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Quebec,4511.0,5.57,810.4
Angus - Borden CFB-BFC,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,12640.0,14.35,880.9
Antigonish,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Nova Scotia,5002.0,5.49,910.6
Armstrong,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,British Columbia,5114.0,5.22,979.8
Arnprior,"Small population centre (1,000 to 29,999)",Core,Ontario,10426.0,12.12,860.4
Arthur,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,2333.0,2.85,819.3
Asbestos,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Quebec,5205.0,3.56,1463.2
Ashcroft,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,British Columbia,1084.0,2.04,530.3
Assiniboia,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Saskatchewan,2389.0,2.38,1005.0
Atikokan,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,1944.0,2.08,932.6
Aylmer,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,7621.0,6.27,1216.2
Ayr,"Small population centre (1,000 to 29,999)",Fringe,Ontario,4171.0,3.52,1185.3
Baie-Comeau,"Small population centre (1,000 to 29,999)",Fringe,Quebec,9610.0,11.37,845.2
Baie-Saint-Paul,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Quebec,4868.0,4.01,1212.8
Golden,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,1154.0,0.93,1241.7
Banff,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,7851.0,4.77,1646.0
Barraute,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Quebec,1099.0,1.33,827.6
Barrhead,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,4387.0,4.75,922.8
Barrie,"Large urban population centre (100,000 or more)",Core,Ontario,145614.0,83.67,1740.2
Barry's Bay,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,1259.0,2.26,556.9
Bathurst,"Small population centre (1,000 to 29,999)",Core,New Brunswick,15557.0,25.15,618.5
Bay Roberts,"Small population centre (1,000 to 29,999)",Core,Newfoundland and Labrador,7100.0,17.56,404.4
Beauceville,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Quebec,3769.0,6.05,623.4
Beaupré,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Quebec,5889.0,9.78,602.3
Beausejour,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Manitoba,2895.0,2.49,1160.5
Beaverlodge,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,2327.0,3.06,759.7
Beaverton,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,2822.0,4.82,585.6
