REF_DATE,City,Province,Housing_Type,PRICE_INDEX,city_size_type,pop_2016,city_size,pop_density,Year,PRICE_INDEX_P
2015-02-01,St. John's,Newfoundland and Labrador,House only,100,"Large urban population centre (100,000 or more)",178427.0,166.0,1074.9,2015,100.0
2015-03-01,St. John's,Newfoundland and Labrador,House only,100,"Large urban population centre (100,000 or more)",178427.0,166.0,1074.9,2015,100.0
2015-04-01,St. John's,Newfoundland and Labrador,House only,100,"Large urban population centre (100,000 or more)",178427.0,166.0,1074.9,2015,100.0
2015-05-01,St. John's,Newfoundland and Labrador,House only,99,"Large urban population centre (100,000 or more)",178427.0,166.0,1074.9,2015,99.0
2015-06-01,St. John's,Newfoundland and Labrador,House only,99,"Large urban population centre (100,000 or more)",178427.0,166.0,1074.9,2015,99.0
2015-07-01,St. John's,Newfoundland and Labrador,House only,100,"Large urban population centre (100,000 or more)",178427.0,166.0,1074.9,2015,100.0
2015-08-01,St. John's,Newfoundland and Labrador,House only,100,"Large urban population centre (100,000 or more)",178427.0,166.0,1074.9,2015,100.0
2015-09-01,St. John's,Newfoundland and Labrador,House only,100,"Large urban population centre (100,000 or more)",178427.0,166.0,1074.9,2015,100.0
2015-10-01,St. John's,Newfoundland and Labrador,House only,100,"Large urban population centre (100,000 or more)",178427.0,166.0,1074.9,2015,100.0
2015-11-01,St. John's,Newfoundland and Labrador,House only,100,"Large urban population centre (100,000 or more)",178427.0,166.0,1074.9,2015,100.0
2015-12-01,St. John's,Newfoundland and Labrador,House only,100,"Large urban population centre (100,000 or more)",178427.0,166.0,1074.9,2015,100.0
2016-01-01,St. John's,Newfoundland and Labrador,House only,100,"Large urban population centre (100,000 or more)",178427.0,166.0,1074.9,2016,100.0
2016-02-01,St. John's,Newfoundland and Labrador,House only,100,"Large urban population centre (100,000 or more)",178427.0,166.0,1074.9,2016,100.0
2016-03-01,St. John's,Newfoundland and Labrador,House only,100,"Large urban population centre (100,000 or more)",178427.0,166.0,1074.9,2016,100.0
2016-04-01,St. John's,Newfoundland and Labrador,House only,100,"Large urban population centre (100,000 or more)",178427.0,166.0,1074.9,2016,100.0
2016-05-01,St. John's,Newfoundland and Labrador,House only,100,"Large urban population centre (100,000 or more)",178427.0,166.0,1074.9,2016,100.0
2016-06-01,St. John's,Newfoundland and Labrador,House only,100,"Large urban population centre (100,000 or more)",178427.0,166.0,1074.9,2016,100.0
2016-07-01,St. John's,Newfoundland and Labrador,House only,99,"Large urban population centre (100,000 or more)",178427.0,166.0,1074.9,2016,99.0
2016-08-01,St. John's,Newfoundland and Labrador,House only,99,"Large urban population centre (100,000 or more)",178427.0,166.0,1074.9,2016,99.0
2016-09-01,St. John's,Newfoundland and Labrador,House only,100,"Large urban population centre (100,000 or more)",178427.0,166.0,1074.9,2016,100.0
2016-10-01,St. John's,Newfoundland and Labrador,House only,100,"Large urban population centre (100,000 or more)",178427.0,166.0,1074.9,2016,100.0
2016-11-01,St. John's,Newfoundland and Labrador,House only,100,"Large urban population centre (100,000 or more)",178427.0,166.0,1074.9,2016,100.0
2016-12-01,St. John's,Newfoundland and Labrador,House only,100,"Large urban population centre (100,000 or more)",178427.0,166.0,1074.9,2016,100.0
2017-01-01,St. John's,Newfoundland and Labrador,House only,99,"Large urban population centre (100,000 or more)",178427.0,166.0,1074.9,2017,99.0
2017-02-01,St. John's,Newfoundland and Labrador,House only,99,"Large urban population centre (100,000 or more)",178427.0,166.0,1074.9,2017,99.0
2017-03-01,St. John's,Newfoundland and Labrador,House only,99,"Large urban population centre (100,000 or more)",178427.0,166.0,1074.9,2017,99.0
2017-04-01,St. John's,Newfoundland and Labrador,House only,99,"Large urban population centre (100,000 or more)",178427.0,166.0,1074.9,2017,99.0
2017-05-01,St. John's,Newfoundland and Labrador,House only,99,"Large urban population centre (100,000 or more)",178427.0,166.0,1074.9,2017,99.0
