housingprice_index,Ref_Year,Ref_Month,City,Province,Housing_Type,PRICE_INDEX
10,1981,01,St. John's,Newfoundland and Labrador,House only,37.5
11,1981,01,St. John's,Newfoundland and Labrador,Land only,31.4
28,1981,01,Saint John,Fredericton,House only,61.4
29,1981,01,Saint John,Fredericton,Land only,38.0
34,1981,01,Québec,Quebec,House only,34.9
35,1981,01,Québec,Quebec,Land only,19.8
43,1981,01,Montréal,Quebec,House only,30.0
44,1981,01,Montréal,Quebec,Land only,20.3
52,1981,01,Ottawa-Gatineau,Ontario part,House only,30.8
53,1981,01,Ottawa-Gatineau,Ontario part,Land only,39.9
58,1981,01,Toronto,Ontario,House only,22.6
59,1981,01,Toronto,Ontario,Land only,39.1
61,1981,01,Hamilton,Ontario,House only,24.8
62,1981,01,Hamilton,Ontario,Land only,46.0
64,1981,01,St. Catharines-Niagara,Ontario,House only,28.3
65,1981,01,St. Catharines-Niagara,Ontario,Land only,35.6
67,1981,01,Kitchener-Cambridge-Waterloo,Ontario,House only,30.4
68,1981,01,Kitchener-Cambridge-Waterloo,Ontario,Land only,43.4
73,1981,01,London,Ontario,House only,27.0
74,1981,01,London,Ontario,Land only,51.0
76,1981,01,Windsor,Ontario,House only,64.9
77,1981,01,Windsor,Ontario,Land only,47.5
79,1981,01,Greater Sudbury,Ontario,House only,54.6
80,1981,01,Greater Sudbury,Ontario,Land only,51.4
88,1981,01,Winnipeg,Manitoba,House only,29.3
89,1981,01,Winnipeg,Manitoba,Land only,18.7
94,1981,01,Regina,Saskatchewan,House only,20.7
95,1981,01,Regina,Saskatchewan,Land only,16.7
97,1981,01,Saskatoon,Saskatchewan,House only,35.8
98,1981,01,Saskatoon,Saskatchewan,Land only,26.0
103,1981,01,Calgary,Alberta,House only,27.8
104,1981,01,Calgary,Alberta,Land only,19.4
106,1981,01,Edmonton,Alberta,House only,36.5
107,1981,01,Edmonton,Alberta,Land only,32.7
115,1981,01,Vancouver,British Columbia,House only,96.1
116,1981,01,Vancouver,British Columbia,Land only,83.5
118,1981,01,Victoria,British Columbia,House only,206.8
119,1981,01,Victoria,British Columbia,Land only,50.5
130,1981,02,St. John's,Newfoundland and Labrador,House only,37.5
131,1981,02,St. John's,Newfoundland and Labrador,Land only,31.8
148,1981,02,Saint John,Fredericton,House only,62.1
149,1981,02,Saint John,Fredericton,Land only,38.0
154,1981,02,Québec,Quebec,House only,35.4
155,1981,02,Québec,Quebec,Land only,20.3
163,1981,02,Montréal,Quebec,House only,30.2
164,1981,02,Montréal,Quebec,Land only,20.7
172,1981,02,Ottawa-Gatineau,Ontario part,House only,30.8
173,1981,02,Ottawa-Gatineau,Ontario part,Land only,39.9
178,1981,02,Toronto,Ontario,House only,23.2
179,1981,02,Toronto,Ontario,Land only,39.3
181,1981,02,Hamilton,Ontario,House only,24.9
182,1981,02,Hamilton,Ontario,Land only,46.0
184,1981,02,St. Catharines-Niagara,Ontario,House only,28.6
185,1981,02,St. Catharines-Niagara,Ontario,Land only,35.6
187,1981,02,Kitchener-Cambridge-Waterloo,Ontario,House only,30.5
188,1981,02,Kitchener-Cambridge-Waterloo,Ontario,Land only,43.5
193,1981,02,London,Ontario,House only,27.5
194,1981,02,London,Ontario,Land only,51.4
196,1981,02,Windsor,Ontario,House only,64.9
197,1981,02,Windsor,Ontario,Land only,47.5
199,1981,02,Greater Sudbury,Ontario,House only,55.6
200,1981,02,Greater Sudbury,Ontario,Land only,52.1
208,1981,02,Winnipeg,Manitoba,House only,29.7
209,1981,02,Winnipeg,Manitoba,Land only,18.7
214,1981,02,Regina,Saskatchewan,House only,21.2
215,1981,02,Regina,Saskatchewan,Land only,17.1
217,1981,02,Saskatoon,Saskatchewan,House only,35.8
218,1981,02,Saskatoon,Saskatchewan,Land only,26.0
223,1981,02,Calgary,Alberta,House only,28.1
224,1981,02,Calgary,Alberta,Land only,19.6
226,1981,02,Edmonton,Alberta,House only,36.8
227,1981,02,Edmonton,Alberta,Land only,32.9
235,1981,02,Vancouver,British Columbia,House only,97.5
236,1981,02,Vancouver,British Columbia,Land only,85.3
238,1981,02,Victoria,British Columbia,House only,209.1
239,1981,02,Victoria,British Columbia,Land only,50.9
250,1981,03,St. John's,Newfoundland and Labrador,House only,37.5
251,1981,03,St. John's,Newfoundland and Labrador,Land only,31.8
268,1981,03,Saint John,Fredericton,House only,62.1
269,1981,03,Saint John,Fredericton,Land only,38.0
274,1981,03,Québec,Quebec,House only,35.4
275,1981,03,Québec,Quebec,Land only,20.6
283,1981,03,Montréal,Quebec,House only,30.5
284,1981,03,Montréal,Quebec,Land only,21.0
292,1981,03,Ottawa-Gatineau,Ontario part,House only,31.9
293,1981,03,Ottawa-Gatineau,Ontario part,Land only,40.6
298,1981,03,Toronto,Ontario,House only,24.8
299,1981,03,Toronto,Ontario,Land only,39.5
301,1981,03,Hamilton,Ontario,House only,25.3
302,1981,03,Hamilton,Ontario,Land only,46.0
304,1981,03,St. Catharines-Niagara,Ontario,House only,28.6
305,1981,03,St. Catharines-Niagara,Ontario,Land only,35.6
307,1981,03,Kitchener-Cambridge-Waterloo,Ontario,House only,30.7
308,1981,03,Kitchener-Cambridge-Waterloo,Ontario,Land only,43.5
313,1981,03,London,Ontario,House only,28.2
314,1981,03,London,Ontario,Land only,51.4
316,1981,03,Windsor,Ontario,House only,64.1
317,1981,03,Windsor,Ontario,Land only,47.5
319,1981,03,Greater Sudbury,Ontario,House only,55.6
320,1981,03,Greater Sudbury,Ontario,Land only,52.1
328,1981,03,Winnipeg,Manitoba,House only,30.3
329,1981,03,Winnipeg,Manitoba,Land only,18.7
334,1981,03,Regina,Saskatchewan,House only,21.5
335,1981,03,Regina,Saskatchewan,Land only,17.5
337,1981,03,Saskatoon,Saskatchewan,House only,36.4
338,1981,03,Saskatoon,Saskatchewan,Land only,26.0
343,1981,03,Calgary,Alberta,House only,28.6
344,1981,03,Calgary,Alberta,Land only,19.6
346,1981,03,Edmonton,Alberta,House only,36.8
347,1981,03,Edmonton,Alberta,Land only,32.9
355,1981,03,Vancouver,British Columbia,House only,97.5
356,1981,03,Vancouver,British Columbia,Land only,85.3
358,1981,03,Victoria,British Columbia,House only,210.6
359,1981,03,Victoria,British Columbia,Land only,50.9
370,1981,04,St. John's,Newfoundland and Labrador,House only,37.5
371,1981,04,St. John's,Newfoundland and Labrador,Land only,31.8
388,1981,04,Saint John,Fredericton,House only,62.1
389,1981,04,Saint John,Fredericton,Land only,38.0
394,1981,04,Québec,Quebec,House only,35.7
395,1981,04,Québec,Quebec,Land only,20.9
403,1981,04,Montréal,Quebec,House only,30.8
404,1981,04,Montréal,Quebec,Land only,21.0
412,1981,04,Ottawa-Gatineau,Ontario part,House only,32.0
413,1981,04,Ottawa-Gatineau,Ontario part,Land only,40.6
418,1981,04,Toronto,Ontario,House only,26.5
419,1981,04,Toronto,Ontario,Land only,40.0
421,1981,04,Hamilton,Ontario,House only,25.6
422,1981,04,Hamilton,Ontario,Land only,46.3
424,1981,04,St. Catharines-Niagara,Ontario,House only,28.6
425,1981,04,St. Catharines-Niagara,Ontario,Land only,35.6
427,1981,04,Kitchener-Cambridge-Waterloo,Ontario,House only,31.1
428,1981,04,Kitchener-Cambridge-Waterloo,Ontario,Land only,43.5
433,1981,04,London,Ontario,House only,28.6
434,1981,04,London,Ontario,Land only,51.6
436,1981,04,Windsor,Ontario,House only,63.9
437,1981,04,Windsor,Ontario,Land only,47.5
439,1981,04,Greater Sudbury,Ontario,House only,57.0
440,1981,04,Greater Sudbury,Ontario,Land only,53.7
448,1981,04,Winnipeg,Manitoba,House only,30.5
449,1981,04,Winnipeg,Manitoba,Land only,18.9
454,1981,04,Regina,Saskatchewan,House only,22.4
455,1981,04,Regina,Saskatchewan,Land only,17.8
457,1981,04,Saskatoon,Saskatchewan,House only,37.3
458,1981,04,Saskatoon,Saskatchewan,Land only,27.6
463,1981,04,Calgary,Alberta,House only,30.1
464,1981,04,Calgary,Alberta,Land only,19.8
466,1981,04,Edmonton,Alberta,House only,36.9
467,1981,04,Edmonton,Alberta,Land only,32.9
475,1981,04,Vancouver,British Columbia,House only,97.7
476,1981,04,Vancouver,British Columbia,Land only,84.2
478,1981,04,Victoria,British Columbia,House only,210.6
479,1981,04,Victoria,British Columbia,Land only,50.9
490,1981,05,St. John's,Newfoundland and Labrador,House only,37.7
491,1981,05,St. John's,Newfoundland and Labrador,Land only,31.9
508,1981,05,Saint John,Fredericton,House only,63.3
509,1981,05,Saint John,Fredericton,Land only,38.0
514,1981,05,Québec,Quebec,House only,36.1
515,1981,05,Québec,Quebec,Land only,21.2
523,1981,05,Montréal,Quebec,House only,31.1
524,1981,05,Montréal,Quebec,Land only,21.3
532,1981,05,Ottawa-Gatineau,Ontario part,House only,32.7
533,1981,05,Ottawa-Gatineau,Ontario part,Land only,40.8
538,1981,05,Toronto,Ontario,House only,27.7
539,1981,05,Toronto,Ontario,Land only,40.1
541,1981,05,Hamilton,Ontario,House only,26.4
542,1981,05,Hamilton,Ontario,Land only,50.2
544,1981,05,St. Catharines-Niagara,Ontario,House only,28.9
545,1981,05,St. Catharines-Niagara,Ontario,Land only,35.6
547,1981,05,Kitchener-Cambridge-Waterloo,Ontario,House only,31.1
548,1981,05,Kitchener-Cambridge-Waterloo,Ontario,Land only,43.5
553,1981,05,London,Ontario,House only,28.6
554,1981,05,London,Ontario,Land only,51.6
556,1981,05,Windsor,Ontario,House only,63.9
557,1981,05,Windsor,Ontario,Land only,47.5
559,1981,05,Greater Sudbury,Ontario,House only,57.0
560,1981,05,Greater Sudbury,Ontario,Land only,53.7
568,1981,05,Winnipeg,Manitoba,House only,31.1
569,1981,05,Winnipeg,Manitoba,Land only,18.9
574,1981,05,Regina,Saskatchewan,House only,23.1
575,1981,05,Regina,Saskatchewan,Land only,17.8
577,1981,05,Saskatoon,Saskatchewan,House only,37.7
578,1981,05,Saskatoon,Saskatchewan,Land only,27.6
583,1981,05,Calgary,Alberta,House only,30.1
584,1981,05,Calgary,Alberta,Land only,19.8
586,1981,05,Edmonton,Alberta,House only,38.2
587,1981,05,Edmonton,Alberta,Land only,33.6
595,1981,05,Vancouver,British Columbia,House only,97.7
596,1981,05,Vancouver,British Columbia,Land only,84.2
598,1981,05,Victoria,British Columbia,House only,212.4
599,1981,05,Victoria,British Columbia,Land only,52.1
610,1981,06,St. John's,Newfoundland and Labrador,House only,37.7
611,1981,06,St. John's,Newfoundland and Labrador,Land only,31.9
628,1981,06,Saint John,Fredericton,House only,63.3
629,1981,06,Saint John,Fredericton,Land only,38.0
634,1981,06,Québec,Quebec,House only,36.1
635,1981,06,Québec,Quebec,Land only,21.2
643,1981,06,Montréal,Quebec,House only,31.5
644,1981,06,Montréal,Quebec,Land only,21.7
652,1981,06,Ottawa-Gatineau,Ontario part,House only,33.5
653,1981,06,Ottawa-Gatineau,Ontario part,Land only,40.8
658,1981,06,Toronto,Ontario,House only,27.7
659,1981,06,Toronto,Ontario,Land only,40.1
661,1981,06,Hamilton,Ontario,House only,26.6
